Epoch;Iterations;Time [s];Data;G_GAN;G_L1;D_real;D_fake
1;400;0.006;10.427;0.766;41.534;0.460;0.481
1;800;0.004;0.005;0.631;22.341;0.376;0.323
1;1200;0.003;0.675;0.589;13.064;0.416;0.219
1;1600;0.004;0.010;0.486;9.826;0.270;0.217
1;2000;0.006;0.007;0.494;8.844;0.295;0.222
1;2400;0.004;0.005;0.395;8.092;0.298;0.204
1;2800;0.003;0.005;0.385;7.750;0.285;0.223
1;3200;0.004;0.009;0.442;7.878;0.303;0.230
1;3600;0.003;0.006;0.362;7.512;0.290;0.213
1;4000;0.006;0.005;0.485;7.330;0.175;0.254
1;4400;0.003;0.071;0.339;6.923;0.284;0.182
1;4800;0.004;0.084;0.503;7.436;0.157;0.401
1;5200;0.003;0.074;0.381;6.225;0.329;0.197
1;5600;0.004;0.006;0.343;6.843;0.269;0.173
1;6000;0.006;0.005;0.336;5.950;0.239;0.230
1;6400;0.004;0.006;0.339;5.805;0.295;0.206
1;6800;0.003;0.005;0.348;5.575;0.302;0.182
1;7200;0.003;0.005;0.382;6.171;0.251;0.177
1;7600;0.004;0.005;0.328;5.193;0.415;0.151
1;8000;0.006;0.006;0.329;5.867;0.263;0.214
1;8400;0.003;0.107;0.434;6.995;0.148;0.256
1;8800;0.003;0.006;0.273;5.561;0.187;0.219
1;9200;0.004;0.005;0.332;5.759;0.186;0.214
1;9600;0.004;0.006;0.370;4.791;0.276;0.209
1;10000;0.006;0.038;0.296;5.174;0.206;0.237
1;10400;0.004;0.007;0.370;5.683;0.251;0.158
1;10800;0.003;0.229;0.367;5.342;0.215;0.224
1;11200;0.003;0.007;0.289;4.813;0.244;0.181
1;11600;0.004;0.005;0.416;5.160;0.174;0.206
1;12000;0.006;0.009;0.368;5.720;0.223;0.221
1;12400;0.003;0.013;0.568;5.902;0.180;0.213
1;12800;0.003;0.005;0.289;4.893;0.260;0.146
1;13200;0.003;0.014;0.353;5.261;0.176;0.213
1;13600;0.003;0.095;0.485;5.951;0.196;0.184
1;14000;0.006;0.005;0.538;5.149;0.113;0.271
1;14400;0.003;0.166;0.553;5.463;0.142;0.213
1;14800;0.003;0.009;0.653;5.230;0.122;0.191
1;15200;0.003;0.008;0.501;6.057;0.112;0.176
1;15600;0.003;0.005;0.380;6.036;0.147;0.247
1;16000;0.006;0.067;0.318;5.257;0.216;0.189
1;16400;0.004;0.005;0.823;5.811;0.131;0.363
1;16800;0.004;0.007;0.556;5.602;0.109;0.143
1;17200;0.003;0.009;0.813;4.951;0.083;0.259
1;17600;0.004;0.006;0.544;6.047;0.114;0.213
1;18000;0.006;0.008;0.432;5.150;0.262;0.068
1;18400;0.004;0.006;0.393;4.669;0.161;0.312
1;18800;0.003;0.029;0.655;4.914;0.107;0.236
1;19200;0.003;0.005;0.569;4.985;0.272;0.049
1;19600;0.003;1.987;0.163;4.899;0.409;0.038
1;20000;0.007;0.006;0.480;6.042;0.188;0.257
1;20400;0.003;0.005;0.388;4.840;0.406;0.069
1;20800;0.004;0.005;0.374;4.637;0.173;0.172
1;21200;0.004;0.005;0.294;4.273;0.214;0.155
1;21600;0.004;0.006;0.315;5.479;0.174;0.224
1;22000;0.006;0.006;0.505;4.442;0.177;0.199
1;22400;0.003;0.220;0.415;5.553;0.176;0.152
1;22800;0.004;0.005;0.301;4.942;0.264;0.168
1;23200;0.006;0.342;0.546;5.475;0.086;0.286
1;23600;0.004;0.007;0.477;5.666;0.128;0.301
1;24000;0.007;0.005;0.403;4.992;0.197;0.221
1;24400;0.003;0.208;0.335;4.569;0.170;0.262
1;24800;0.004;0.007;0.524;4.910;0.119;0.343
1;25200;0.004;0.192;0.333;4.625;0.181;0.156
1;25600;0.004;0.277;0.533;4.090;0.166;0.221
1;26000;0.005;0.377;0.637;5.329;0.087;0.301
1;26400;0.004;0.005;0.332;5.485;0.506;0.060
1;26800;0.004;0.006;0.530;5.843;0.088;0.295
1;27200;0.004;0.005;0.284;5.321;0.244;0.109
1;27600;0.004;0.112;0.450;4.821;0.132;0.180
1;28000;0.007;0.005;0.374;4.233;0.166;0.182
1;28400;0.004;0.008;0.566;5.707;0.133;0.178
1;28800;0.003;0.015;0.367;5.214;0.249;0.225
1;29200;0.003;0.005;0.421;4.082;0.138;0.308
1;29600;0.003;0.274;0.409;4.877;0.228;0.284
1;30000;0.006;0.007;0.326;3.964;0.175;0.206
1;30400;0.003;0.005;0.598;4.777;0.126;0.249
1;30800;0.003;0.005;0.237;5.065;0.448;0.106
2;272;0.006;0.069;0.399;4.451;0.125;0.195
2;672;0.004;0.009;0.336;3.963;0.181;0.218
2;1072;0.006;0.019;0.496;5.222;0.186;0.162
2;1472;0.003;0.007;0.463;4.773;0.104;0.257
2;1872;0.003;0.039;0.332;4.064;0.288;0.167
2;2272;0.003;0.010;0.594;4.549;0.077;0.333
2;2672;0.003;0.012;0.474;4.618;0.165;0.181
2;3072;0.006;0.014;0.362;4.893;0.262;0.125
2;3472;0.003;0.073;0.482;4.637;0.225;0.168
2;3872;0.004;0.007;0.488;4.794;0.133;0.250
2;4272;0.003;0.035;0.274;4.167;0.691;0.374
2;4672;0.004;0.006;0.486;4.756;0.171;0.189
2;5072;0.007;0.007;0.435;5.222;0.161;0.221
2;5472;0.004;0.010;0.310;3.801;0.184;0.216
2;5872;0.003;0.127;0.400;4.441;0.186;0.199
2;6272;0.004;0.007;0.370;4.094;0.244;0.182
2;6672;0.004;0.007;0.324;3.939;0.214;0.230
2;7072;0.006;0.007;0.170;3.780;0.394;0.132
2;7472;0.003;0.023;0.196;4.436;0.351;0.119
2;7872;0.003;0.009;0.462;4.404;0.208;0.247
2;8272;0.004;0.006;0.411;4.160;0.170;0.184
2;8672;0.003;0.008;0.339;4.851;0.409;0.066
2;9072;0.005;0.053;0.407;4.670;0.235;0.244
2;9472;0.003;0.005;0.354;4.110;0.262;0.123
2;9872;0.003;0.058;0.273;4.512;0.189;0.195
2;10272;0.004;0.009;0.346;4.456;0.155;0.215
2;10672;0.003;0.092;0.487;4.744;0.117;0.297
2;11072;0.006;0.009;0.367;3.772;0.205;0.200
2;11472;0.003;0.007;0.362;4.012;0.195;0.185
2;11872;0.003;0.011;0.247;4.049;0.187;0.225
2;12272;0.003;0.053;0.268;3.665;0.245;0.162
2;12672;0.004;0.005;0.430;4.208;0.164;0.211
2;13072;0.006;0.006;0.344;4.710;0.217;0.193
2;13472;0.004;0.006;0.280;3.909;0.252;0.136
2;13872;0.003;0.122;0.311;3.879;0.283;0.138
2;14272;0.004;0.007;0.236;4.431;0.304;0.148
2;14672;0.003;0.005;0.467;4.663;0.196;0.171
2;15072;0.006;0.009;0.357;5.132;0.183;0.207
2;15472;0.003;0.024;0.261;4.046;0.469;0.054
2;15872;0.004;0.006;0.382;3.929;0.286;0.148
2;16272;0.003;0.009;0.844;4.908;0.060;0.330
2;16672;0.004;0.005;0.706;3.818;0.106;0.283
2;17072;0.005;0.082;0.326;3.984;0.300;0.125
2;17472;0.004;0.005;0.536;4.413;0.144;0.191
2;17872;0.003;0.006;0.493;4.661;0.166;0.218
2;18272;0.004;0.006;0.189;3.334;0.317;0.272
2;18672;0.003;0.050;0.360;4.147;0.416;0.054
2;19072;0.006;0.006;0.459;4.095;0.142;0.223
2;19472;0.003;0.008;0.311;3.384;0.302;0.119
2;19872;0.003;0.029;0.382;4.166;0.373;0.074
2;20272;0.003;0.037;0.329;4.014;0.257;0.140
2;20672;0.003;0.008;0.177;4.195;0.288;0.206
2;21072;0.006;0.007;0.579;4.316;0.185;0.334
2;21472;0.003;0.027;0.250;4.332;0.229;0.218
2;21872;0.003;0.051;0.378;3.735;0.223;0.173
2;22272;0.004;0.006;0.242;4.002;0.243;0.146
2;22672;0.003;0.005;0.249;4.302;0.300;0.099
2;23072;0.006;0.011;0.404;4.943;0.194;0.219
2;23472;0.003;0.009;0.440;4.249;0.184;0.187
2;23872;0.004;0.005;0.249;3.865;0.165;0.255
2;24272;0.004;0.005;0.417;4.315;0.214;0.260
2;24672;0.004;0.009;0.749;4.717;0.064;0.283
2;25072;0.005;0.087;0.541;3.941;0.114;0.294
2;25472;0.004;0.007;0.366;3.527;0.198;0.175
2;25872;0.004;0.007;0.286;4.038;0.271;0.102
2;26272;0.003;0.012;0.312;3.948;0.267;0.198
2;26672;0.003;0.018;0.639;3.876;0.120;0.255
2;27072;0.006;0.006;0.332;3.967;0.296;0.172
2;27472;0.004;0.006;0.141;2.947;0.310;0.108
2;27872;0.004;0.005;0.286;4.127;0.218;0.194
2;28272;0.003;0.078;0.122;3.916;0.591;0.059
2;28672;0.004;0.009;0.457;3.941;0.155;0.170
2;29072;0.005;0.009;0.432;3.923;0.169;0.247
2;29472;0.003;0.008;0.247;3.876;0.332;0.149
2;29872;0.003;0.067;0.389;4.170;0.199;0.172
2;30272;0.003;0.005;0.318;4.300;0.268;0.174
2;30672;0.003;0.008;0.210;3.961;0.280;0.127
3;144;0.005;0.005;0.410;3.819;0.211;0.139
3;544;0.004;0.006;0.452;4.185;0.143;0.229
3;944;0.003;0.005;0.520;3.492;0.219;0.373
3;1344;0.003;0.009;0.280;4.241;0.408;0.068
3;1744;0.003;0.070;0.316;4.062;0.149;0.187
3;2144;0.006;0.005;0.407;3.740;0.182;0.203
3;2544;0.003;0.005;0.262;3.832;0.409;0.090
3;2944;0.003;0.006;0.505;3.531;0.210;0.262
3;3344;0.003;0.097;0.295;3.905;0.403;0.115
3;3744;0.003;0.008;0.347;4.015;0.158;0.217
3;4144;0.006;0.012;0.370;3.351;0.254;0.141
3;4544;0.003;0.011;0.309;4.351;0.199;0.202
3;4944;0.003;0.108;0.329;3.927;0.174;0.242
3;5344;0.003;0.013;0.373;3.802;0.169;0.166
3;5744;0.003;0.006;0.300;4.178;0.194;0.159
3;6144;0.006;0.007;0.322;3.497;0.193;0.190
3;6544;0.003;0.065;0.199;3.357;0.326;0.145
3;6944;0.004;0.009;0.379;3.098;0.112;0.331
3;7344;0.004;0.005;0.385;3.308;0.256;0.178
3;7744;0.004;0.006;0.307;4.174;0.151;0.188
3;8144;0.006;0.092;0.475;4.469;0.134;0.232
3;8544;0.003;0.005;0.273;3.368;0.170;0.229
3;8944;0.003;0.010;0.436;4.245;0.115;0.292
3;9344;0.003;0.007;0.260;4.339;0.320;0.134
3;9744;0.003;0.055;0.308;3.768;0.245;0.182
